mlp_dropout,k,cbf_beta,test_loss,cbf_gamma,test_pred_dist,epochs,seq_len,test_f1,batch_size,trial_id,lr,test_loss_avg,num_lstm_layers,lstm_dim,mlp_dim,fine_tune_lr_ratio,fc_dim,test_mcc,test_cum_ret,num_heads,criterion,num_encoders,time_idx,fc_dropout,d_model,pretrained_t2v,ignore_cols,scheduler,symbol,test_acc,optimizer
0.3,64,0.99,1.1282426714897156,1.0,"[0.756, 0.157, 0.087]",140,30,0.36972964586323254,64,10,1.0000000000000002e-06,0.5641213357448578,2,256,2048,0.1,1024,-0.030344355729138427,-0.32999999999999996,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4252232142857143,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5767850279808044,1.0,"[0.756, 0.181, 0.063]",140,30,0.40232210557013703,128,11,1.0000000000000002e-06,0.5767850279808044,2,256,2048,0.1,1024,0.05400131532843848,-0.19999999999999996,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4566929133858268,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.1279593110084534,1.0,"[0.732, 0.165, 0.102]",140,20,0.42448373198633194,64,12,1.0000000000000002e-06,0.5639796555042267,2,256,2048,0.1,1024,0.06235713877908926,0.33000000000000007,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4645337301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5535702705383301,1.0,"[0.701, 0.157, 0.142]",140,20,0.4670336118997361,128,13,1.0000000000000002e-06,0.5535702705383301,2,256,2048,0.1,1024,0.10778388756158272,0.25,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4881889763779528,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.1118035316467285,1.0,"[0.803, 0.094, 0.102]",140,30,0.41664791901012377,64,14,1.0000000000000002e-06,0.5559017658233643,2,256,2048,0.1,1024,0.014911554270314945,-0.25,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4722222222222222,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5744487047195435,1.0,"[0.646, 0.205, 0.15]",140,30,0.4138820580430872,128,15,1.0000000000000002e-06,0.5744487047195435,2,256,2048,0.1,1024,0.02582888452775556,-0.18000000000000005,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4251968503937008,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.0812702178955078,1.0,"[0.669, 0.118, 0.213]",140,20,0.46667817394650635,64,16,1.0000000000000002e-06,0.5406351089477539,2,256,2048,0.1,1024,0.0707434259276826,0.31000000000000005,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4799107142857143,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5344887971878052,1.0,"[0.685, 0.102, 0.213]",140,20,0.4776403643377923,128,17,1.0000000000000002e-06,0.5344887971878052,2,256,2048,0.1,1024,0.08893111882542142,0.30000000000000004,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.49606299212598426,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.1298402547836304,1.0,"[0.646, 0.197, 0.157]",140,30,0.4282207172434129,64,18,1.0000000000000002e-06,0.5649201273918152,2,256,2048,0.1,1024,0.05012284522536843,-0.28,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4408482142857143,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5651296973228455,1.0,"[0.591, 0.205, 0.205]",140,30,0.47922839432305003,128,19,1.0000000000000002e-06,0.5651296973228455,2,256,2048,0.1,1024,0.11951976886465743,0.8,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.47244094488188976,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
