Experiment,Model,Param Count,Pretrain Avg Test Loss,Avg Test Loss,Test Accuracy,F1,MCC,Pretrain Total Training time,Pretrain Average Epoch time,Pretrain Average Train time,Pretrain Average Validate time,Pretrain Test time,Pretrain Split,Total Training time,Average Epoch time,Average Train time,Average Validate time,Test time,Cumulative Return,Pred Dist: Sell,Pred Dist: Hold,Pred Dist: Buy
config_target_split_75.yml,rnn,4003,1.069549173116684,1.0969626307487488,0.5035282258064516,0.3511227763196267,0.0111851956270927,5.4417753,0.07565916,0.072557,0.23074971,0.003956652002671035,0.75,0.46126905,0.021533879,0.018450761,0.076418035,0.00361830199835822,0.26,0.984252,0.0,0.015748031
config_target_split_75.yml,transformer,3275971,1.1530706286430359,1.349688708782196,0.48040674603174605,0.4601917161570609,0.044435817444196,160.89456,0.7241794,0.71508694,2.038838,0.009715246000268962,0.75,13.457565,0.188452,0.17943421,0.6742591,0.009669139002653537,0.1299999999999999,0.6062992,0.031496063,0.36220473
config_target_split_75.yml,lnn,7107,0.6927116513252258,0.5786483883857727,0.5039370078740157,0.33771694768520427,0.0,135.31465,1.8408649,1.8041954,2.7472472,0.03700095199747011,0.75,11.31778,0.48949558,0.4527112,0.9185869,0.037879446001170436,0.25,1.0,0.0,0.0
config_target_split_25.yml,rnn,4003,1.0647955536842346,1.0969288349151611,0.5194052419354839,0.443233613139398,0.07818990820548903,1.9191669,0.08010108,0.07676668,0.0826839,0.004003902999102138,0.25,1.388646,0.021554576,0.01851528,0.22604784,0.0036566660055541433,0.52,0.8582677,0.0,0.14173229
config_target_split_25.yml,transformer,3275971,1.0792672634124756,1.2665883898735046,0.4095982142857143,0.3912510936132983,-0.06799735188779292,53.48477,0.72214854,0.7131303,0.6740463,0.009658401002525352,0.25,40.21881,0.1876963,0.17875028,2.006934,0.009619917997042648,0.0,0.62992126,0.070866145,0.2992126
config_target_split_25.yml,lnn,7107,0.7192096710205078,0.593372106552124,0.4566929133858268,0.4374110518926872,-0.002089403553039912,45.36802,1.8513327,1.8147207,0.91426516,0.037278158000844996,0.25,33.908062,0.4887403,0.4521075,2.744886,0.03705853199789999,-0.44999999999999996,0.511811,0.0,0.48818898
